"Id","income"
"1",0.759279943502825
"2",0.767575370545569
"3",0.768098204527713
"4",0.777111286332715
"5",0.781332409460458
"6",0.797530653266332
"7",0.779456197352587
"8",0.78898144018583
"9",0.790357309941521
"10",0.795752674897119
"11",0.770849597701149
"12",0.783919586894587
"13",0.793130685166153
"14",0.797719634703196
"15",0.795209444444444
"16",0.795820555463056
"17",0.793725457118013
"18",0.788137521633783
"19",0.807100055629729
"20",0.801106640281442
"21",0.805028898809524
"22",0.790069916647978
"23",0.786987326388889
"24",0.786599688125495
"25",0.778334533702678
"26",0.790316213558131
"27",0.80097748427673
"28",0.764032424242424
"29",0.790107336523126
"30",0.793054690374004
"31",0.794120211898941
"32",0.785154142300195
"33",0.779497780435938
"34",0.788534644194757
"35",0.774131087151842
"36",0.756069465020576
