"Id","Var1","Freq_x","Freq_y"
"1","1",50,10
"2","10",119,9
"3","11",92,9
"4","12",163,23
"5","13",151,25
"6","14",65,7
"7","15",113,20
"8","16",325,21
"9","18",148,16
"10","19",166,17
"11","2",82,15
"12","20",271,24
"13","21",36,2
"14","22",176,13
"15","23",99,16
"16","24",94,13
"17","25",222,20
"18","26",159,10
"19","27",112,8
"20","28",171,17
"21","29",577,51
"22","3",47,8
"23","31",45,5
"24","32",229,28
"25","33",116,13
"26","34",140,14
"27","35",114,14
"28","36",258,12
"29","37",109,13
"30","38",141,12
"31","39",333,20
"32","4",84,10
"33","40",281,16
"34","41",195,10
"35","42",213,22
"36","43",47,6
"37","44",188,13
"38","45",162,20
"39","46",189,17
"40","47",204,14
"41","48",123,8
"42","49",160,16
"43","5",124,16
"44","50",249,12
"45","51",305,20
"46","52",188,19
"47","53",280,28
"48","54",6,2
"49","54.6060557168979",10017,274
"50","55",221,15
"51","56",168,16
"52","57",188,12
"53","58",299,14
"54","59",14,3
"55","6",72,12
"56","60",211,13
"57","61",146,9
"58","62",186,16
"59","63",334,26
"60","64",132,11
"61","65",216,18
"62","66",266,17
"63","67",206,20
"64","68",146,7
"65","69",210,20
"66","7",101,14
"67","70",369,13
"68","71",102,12
"69","72",153,13
"70","73",200,20
"71","74",126,14
"72","75",154,13
"73","76",204,29
"74","77",128,14
"75","78",219,13
"76","79",182,17
"77","8",98,16
"78","80",310,19
"79","81",194,16
"80","82",201,14
"81","83",240,11
"82","84",172,12
"83","85",161,11
"84","86",140,8
"85","87",153,16
"86","88",129,21
"87","89",197,14
"88","9",89,7
"89","90",258,17
"90","91",166,19
"91","92",274,21
"92","93",158,14
"93","94",163,20
"94","95",224,12
"95","96",200,15
"96","97",181,12
"97","98",253,16
"98","99",273,39
